C2H2        S+                      HC2S+       H                                   9.50E-10     0.00      0.0   10.41000.  5 C IN
HNC         Si+                     SiNC+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
Si+         C3H2                    SiC3H+      H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
S           H3S+                    H2S2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
H+          O                       O+          H                                   7.31E-10     0.23    225.9   10.10000.  5 B CE
H+          CH4                     CH4+        H                                   1.50E-09     0.00      0.0   10.41000.  5 A CE
H+          NH3                     NH3+        H                                   3.70E-09    -0.50      0.0   10.41000.  5 A CE
H+          H2O                     H2O+        H                                   6.90E-09    -0.50      0.0   10.  300.  5 A CE
H+          Mg                      Mg+         H                                   1.10E-09     0.00      0.0   10.41000.  5 C CE
H+          HCN                     HCN+        H                                   1.05E-08    -0.13      0.0  205.  565.  5 A CE
H+          Si                      Si+         H                                   9.90E-10     0.00      0.0   10.41000.  5 C CE
H+          P                       P+          H                                   1.00E-09     0.00      0.0   10.  300.  5 C CE
H+          O2                      O2+         H                                   2.00E-09     0.00      0.0   10.  300.  5 A CE
H+          S                       S+          H                                   1.30E-09     0.00      0.0   10.41000.  5 C CE
H+          H2S                     H2S+        H                                   5.28E-09    -0.50      0.0   10.41000.  5 A CE
H+          CH2CN                   CH2CN+      H                                   6.30E-09    -0.50      0.0   10.  300.  5 C CE
H+          CH3CN                   CH3CN+      H                                   8.40E-09    -0.50      0.0   10.41000.  5 B CE
H+          HNSi                    HNSi+       H                                   1.50E-09     0.00      0.0   10.  300.  5 C CE
H+          HCP                     HCP+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C CE
H+          CS                      CS+         H                                   4.90E-09    -0.50      0.0   10.41000.  5 C CE
H+          SiO                     SiO+        H                                   3.30E-09    -0.50      0.0   10.41000.  5 C CE
H+          PN                      PN+         H                                   1.00E-09    -0.50      0.0   10.41000.  5 C CE
H+          H2CS                    H2CS+       H                                   4.70E-09    -0.50      0.0   10.41000.  5 C CE
H+          C3O                     C3O+        H                                   1.00E-09    -0.50      0.0   10.41000.  5 C CE
H+          Fe                      Fe+         H                                   7.40E-09     0.00      0.0   10.41000.  5 C CE
H+          OCS                     OCS+        H                                   2.10E-09     0.00      0.0   10.  300.  5 A CE
H+          SO2                     SO2+        H                                   5.78E-09    -0.50      0.0   10.  300.  5 A CE
H-          Na+                     Na          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H-          Mg+                     Mg          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H-          Fe+                     Fe          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H3+         E-                      H           H           H                       4.36E-08    -0.52      0.0   10. 1000.  5 A DR
CH3+        E-                      CH2         H                                   7.75E-08    -0.50      0.0   10.  300.  5 A DR
CH3+        E-                      CH          H           H                       2.00E-07    -0.40      0.0   10. 1000.  5 A DR
CH5+        E-                      CH3         H           H                       1.96E-07    -0.52      0.0   10.  300.  5 A DR
NH4+        E-                      NH2         H           H                       3.19E-07    -0.47      0.0   12.  620.  5 A DR
NH4+        E-                      NH3         H                                   1.05E-06    -0.47      0.0   12.  620.  5 A DR
H3O+        E-                      OH          H           H                       2.58E-07    -0.50      0.0   10. 1000.  5 A DR
H3O+        E-                      H2O         H                                   1.08E-07    -0.50      0.0   10. 1000.  5 A DR
H2F+        E-                      HF          H                                   3.50E-07    -0.50      0.0   10.  300.  5 B DR
C2H3+       E-                      C2H2        H                                   1.45E-07    -0.84      0.0   50. 1000.  5 A DR
C2H3+       E-                      C2H         H           H                       2.95E-07    -0.84      0.0   50. 1000.  5 A DR
HCNH+       E-                      CN          H           H                       9.30E-08    -0.65      0.0   10.  300.  5 A DR
HCNH+       E-                      HCN         H                                   9.50E-08    -0.65      0.0   10.  300.  5 A DR
HCNH+       E-                      HNC         H                                   9.50E-08    -0.65      0.0   10.  300.  5 A DR
H2NC+       E-                      HNC         H                                   1.80E-07    -0.50      0.0   10.  300.  5 C DR
C2H4+       E-                      C2H2        H           H                       3.70E-07    -0.76      0.0   10.  300.  5 C DR
C2H4+       E-                      C2H3        H                                   6.16E-08    -0.76      0.0   10.  300.  5 C DR
HCO+        E-                      CO          H                                   2.40E-07    -0.69      0.0   10.  300.  5 A DR
HN2+        E-                      N2          H                                   3.60E-07    -0.51      0.0   10.  300.  5 A DR
C2H5+       E-                      C2H3        H           H                       7.56E-08    -0.79      0.0   10.  300.  5 A DR
C2H5+       E-                      C2H2        H           H           H           3.64E-08    -0.79      0.0   10.  300.  5 A DR
SiH+        E-                      Si          H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
H2CO+       E-                      CO          H           H                       5.00E-07    -0.50      0.0   10.  300.  5 C DR
SiH2+       E-                      SiH         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3CO+       E-                      HCO         H           H                       2.00E-07    -0.50      0.0   10.  300.  5 C DR
H3CO+       E-                      H2CO        H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
PH2+        E-                      PH          H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
